genre,genre_id,movie_id
"Action",28,19995
"Adventure",12,19995
"Fantasy",14,19995
"Science Fiction",878,19995
"Adventure",12,285
"Fantasy",14,285
"Action",28,285
"Action",28,206647
"Adventure",12,206647
"Crime",80,206647
"Action",28,49026
"Crime",80,49026
"Drama",18,49026
"Thriller",53,49026
"Action",28,49529
"Adventure",12,49529
"Science Fiction",878,49529
"Comedy",35,57943
"Drama",18,57943
"Fantasy",14,57943
"Romance",10749,57943
"Fantasy",14,559
"Action",28,559
"Adventure",12,559
"Animation",16,38757
"Family",10751,38757
"Action",28,99861
"Adventure",12,99861
"Science Fiction",878,99861
"Adventure",12,767
"Fantasy",14,767
"Family",10751,767
"Action",28,209112
"Adventure",12,209112
"Fantasy",14,209112
"Action",28,68721
"Adventure",12,68721
"Science Fiction",878,68721
"Adventure",12,1452
"Fantasy",14,1452
"Action",28,1452
"Science Fiction",878,1452
"Adventure",12,10764
"Action",28,10764
"Thriller",53,10764
"Crime",80,10764
"Adventure",12,58
"Fantasy",14,58
"Action",28,58
"Action",28,57201
"Adventure",12,57201
"Western",37,57201
"Action",28,49521
"Adventure",12,49521
"Fantasy",14,49521
"Science Fiction",878,49521
"Science Fiction",878,76757
"Fantasy",14,76757
"Action",28,76757
"Adventure",12,76757
"Adventure",12,2454
"Family",10751,2454
"Fantasy",14,2454
"Science Fiction",878,24428
"Action",28,24428
"Adventure",12,24428
"Adventure",12,1865
"Action",28,1865
"Fantasy",14,1865
"Action",28,41154
"Comedy",35,41154
"Science Fiction",878,41154
"Action",28,122917
"Adventure",12,122917
"Fantasy",14,122917
"Comedy",35,31535
"Action",28,1930
"Adventure",12,1930
"Fantasy",14,1930
"Action",28,20662
"Adventure",12,20662
"Adventure",12,57158
"Fantasy",14,57158
"Adventure",12,2268
"Fantasy",14,2268
"Adventure",12,254
"Drama",18,254
"Action",28,254
"Action",28,558
"Adventure",12,558
"Fantasy",14,558
"Drama",18,597
"Romance",10749,597
"Thriller",53,597
"Adventure",12,271110
"Action",28,271110
"Science Fiction",878,271110
"Thriller",53,44833
"Action",28,44833
"Adventure",12,44833
"Science Fiction",878,44833
"Action",28,135397
"Adventure",12,135397
"Science Fiction",878,135397
"Thriller",53,135397
"Action",28,37724
"Adventure",12,37724
"Thriller",53,37724
"Family",10751,12155
"Fantasy",14,12155
"Adventure",12,12155
"Adventure",12,36668
"Action",28,36668
"Science Fiction",878,36668
"Thriller",53,36668
"Animation",16,62211
"Family",10751,62211
"Science Fiction",878,8373
"Action",28,8373
"Adventure",12,8373
"Science Fiction",878,91314
"Action",28,91314
"Adventure",12,91314
"Fantasy",14,68728
"Adventure",12,68728
"Family",10751,68728
"Action",28,102382
"Adventure",12,102382
"Fantasy",14,102382
