keyword,keyword_id,movie_id
"culture clash",1463,19995
"future",2964,19995
"space war",3386,19995
"space colony",3388,19995
"society",3679,19995
"space travel",3801,19995
"futuristic",9685,19995
"romance",9840,19995
"space",9882,19995
"alien",9951,19995
"tribe",10148,19995
"alien planet",10158,19995
"cgi",10987,19995
"marine",11399,19995
"soldier",13065,19995
"battle",14643,19995
"love affair",14720,19995
"anti war",165431,19995
"power relations",193554,19995
"mind and soul",206690,19995
"3d",209714,19995
"ocean",270,285
"drug abuse",726,285
"exotic island",911,285
"east india trading company",1319,285
"love of one's life",2038,285
"traitor",2052,285
"shipwreck",2580,285
"strong woman",2660,285
"ship",3799,285
"alliance",5740,285
"calypso",5941,285
"afterlife",6155,285
"fighter",6211,285
"pirate",12988,285
"swashbuckler",157186,285
"aftercreditsstinger",179430,285
"spy",470,206647
"based on novel",818,206647
"secret agent",4289,206647
"sequel",9663,206647
"mi6",14555,206647
"british secret service",156095,206647
"united kingdom",158431,206647
"dc comics",849,49026
"crime fighter",853,49026
"terrorist",949,49026
"secret identity",1308,49026
"burglar",1437,49026
"hostage drama",3051,49026
"time bomb",3562,49026
"gotham city",6969,49026
"vigilante",7002,49026
"cover-up",9665,49026
"superhero",9715,49026
"villainess",9990,49026
"tragic hero",10044,49026
"terrorism",13015,49026
"destruction",14796,49026
"catwoman",18933,49026
"cat burglar",156082,49026
"imax",156395,49026
"flood",173272,49026
"criminal underworld",179093,49026
"batman",230775,49026
"based on novel",818,49529
"mars",839,49529
"medallion",1456,49529
"space travel",3801,49529
"princess",7376,49529
"alien",9951,49529
"steampunk",10028,49529
"martian",10539,49529
"escape",10685,49529
"edgar rice burroughs",161511,49529
"alien race",163252,49529
"superhuman strength",179102,49529
"mars civilization",190320,49529
"sword and planet",195446,49529
"19th century",207928,49529
"3d",209714,49529
"dual identity",851,559
"amnesia",1453,559
"sandstorm",1965,559
"love of one's life",2038,559
"forgiveness",3446,559
"spider",3986,559
"wretch",4391,559
"death of a friend",4959,559
"egomania",5776,559
"sand",5789,559
"narcism",5857,559
"hostility",6062,559
"marvel comic",8828,559
"sequel",9663,559
"superhero",9715,559
"revenge",9748,559
"hostage",1562,38757
"magic",2343,38757
"horse",2673,38757
"fairy tale",3205,38757
"musical",4344,38757
"princess",7376,38757
"animation",10336,38757
"tower",33787,38757
"blonde woman",155658,38757
"selfishness",162219,38757
"healing power",163545,38757
"based on fairy tale",179411,38757
"duringcreditsstinger",179431,38757
"healing gift",215258,38757
"animal sidekick",234183,38757
"marvel comic",8828,99861
"sequel",9663,99861
"superhero",9715,99861
"based on comic book",9717,99861
"vision",10629,99861
"superhero team",155030,99861
"duringcreditsstinger",179431,99861
"marvel cinematic universe",180547,99861
"3d",209714,99861
"witch",616,767
"magic",2343,767
"broom",3872,767
"school of witchcraft",3884,767
"wizardry",6333,767
"apparition",10164,767
"teenage crush",10791,767
"werewolf",12564,767
"dc comics",849,209112
"vigilante",7002,209112
"superhero",9715,209112
"based on comic book",9717,209112
"revenge",9748,209112
"super powers",163455,209112
"clark kent",195242,209112
"bruce wayne",195243,209112
"dc extended universe",229266,209112
"terrorist",949,68721
"war on terror",5597,68721
"tennessee",6335,68721
"malibu",8613,68721
"marvel comic",8828,68721
"superhero",9715,68721
"based on comic book",9717,68721
"tony stark",12555,68721
"iron man",173776,68721
"aftercreditsstinger",179430,68721
"marvel cinematic universe",180547,68721
"mandarin",188721,68721
"3d",209714,68721
"war machine",209748,68721
"iron patriot",209822,68721
"extremis",209823,68721
"saving the world",83,1452
"dc comics",849,1452
"invulnerability",8872,1452
"sequel",9663,1452
"superhero",9715,1452
"based on comic book",9717,1452
"kryptonite",163420,1452
"super powers",163455,1452
"superhuman strength",179102,1452
"lex luthor",202526,1452
"killing",627,10764
"undercover",1568,10764
"secret agent",4289,10764
"british secret service",156095,10764
"witch",616,58
"fortune teller",663,58
"bondage",910,58
"exotic island",911,58
"monster",1299,58
"captain",1316,58
"card game",1317,58
"east india trading company",1319,58
"compass",1461,58
"ship",3799,58
"daughter",5600,58
"pirate",12988,58
"swashbuckler",157186,58
"aftercreditsstinger",179430,58
"texas",1556,57201
"horse",2673,57201
"survivor",5385,57201
"texas ranger",5901,57201
"partner",9104,57201
"outlaw",9503,57201
"escape",10685,57201
"lawyer",10909,57201
"train",13008,57201
"lone ranger",178867,57201
"comanche",179419,57201
"the lone ranger",222787,57201
"tonto",228232,57201
"saving the world",83,49521
"dc comics",849,49521
"superhero",9715,49521
"based on comic book",9717,49521
"superhuman",10761,49521
"alien invasion",14909,49521
"reboot",161184,49521
"super powers",163455,49521
"dc extended universe",229266,49521
"jupiter",306,76757
"space",9882,76757
"woman director",187056,76757
"3d",209714,76757
"interspecies romance",212760,76757
"based on novel",818,2454
"fictional place",855,2454
"brother sister relationship",1155,2454
"lion",2043,2454
"human being",3714,2454
"wretch",4391,2454
"leap in time",4820,2454
"matter of life and death",5144,2454
"faith",6150,2454
"uncle",6464,2454
"narnia",166930,2454
"fantasy world",170362,2454
"new york",242,24428
"shield",5539,24428
"marvel comic",8828,24428
"superhero",9715,24428
"based on comic book",9717,24428
"alien invasion",14909,24428
"superhero team",155030,24428
"aftercreditsstinger",179430,24428
"duringcreditsstinger",179431,24428
"marvel cinematic universe",180547,24428
"sea",658,1865
"captain",1316,1865
"mutiny",1860,1865
"sword",1938,1865
"prime minister",2569,1865
"sailing",3180,1865
"silver",3625,1865
"ship",3799,1865
"duke",4235,1865
"mermaid",5938,1865
"pirate",12988,1865
"soldier",13065,1865
"battle",14643,1865
"swashbuckler",157186,1865
"aftercreditsstinger",179430,1865
"3d",209714,1865
"time travel",4379,41154
"time machine",5455,41154
"alien",9951,41154
"fictional government agency",174915,41154
"seeing the future",185668,41154
"changing history",208756,41154
"corruption",417,122917
"elves",603,122917
"dwarves",604,122917
"orcs",606,122917
"middle-earth (tolkien)",609,122917
"hobbit",611,122917
"dragon",12554,122917
"battle",14643,122917
"unlikely friendship",167982,122917
"epic battle",188270,122917
"sword and sorcery",234213,122917
"inventor",1436,31535
"invention",3338,31535
"scandal",3692,31535
"loss of father",1872,1930
"vigilante",7002,1930
"serum",8803,1930
"marvel comic",8828,1930
"scientific experiment",156855,1930
"spider bite",158124,1930
"masked vigilante",158456,1930
"reboot",161184,1930
"super powers",163455,1930
"genetic engineering",163561,1930
"social outcast",171556,1930
"duringcreditsstinger",179431,1930
"robin hood",4147,20662
"archer",4393,20662
"knight",10466,20662
"sherwood forest",11525,20662
"bow and arrow",18101,20662
"middle ages",41406,20662
"medieval",161257,20662
"king of england",186686,20662
"elves",603,57158
"dwarves",604,57158
"orcs",606,57158
"hobbit",611,57158
"dragon",12554,57158
"wizard",177912,57158
"sword and sorcery",234213,57158
"england",392,2268
"compass",1461,2268
"experiment",1706,2268
"lordship",2596,2268
"uncle",6464,2268
"polar bear",6678,2268
"orphan",13014,2268
"animal",18165,2268
"based on young adult novel",223438,2268
"film business",774,254
"screenplay",776,254
"show business",837,254
"film making",886,254
"film producer",887,254
"exotic island",911,254
"monster",1299,254
"indigenous",1551,254
"ship",3799,254
"dinosaur",12616,254
"dual identity",851,558
"love of one's life",2038,558
"pizza boy",5983,558
"marvel comic",8828,558
"sequel",9663,558
"superhero",9715,558
"doctor",13005,558
"scientist",14760,558
"tentacle",14991,558
"death",34079,558
"super villain",163074,558
"shipwreck",2580,597
"iceberg",2984,597
"ship",3799,597
"panic",4210,597
"titanic",4388,597
"ocean liner",4953,597
"epic",6917,597
"rich woman - poor man",7579,597
"love",9673,597
"disaster",10617,597
"tragic love",10703,597
"class differences",14514,597
"imax",156395,597
"star crossed lovers",165086,597
"steerage",182615,597
"salvage",182621,597
"rich snob",182625,597
"3d",209714,597
"1910s",210184,597
"civil war",393,271110
"war",6091,271110
"marvel comic",8828,271110
"sequel",9663,271110
"superhero",9715,271110
"based on comic book",9717,271110
"imax",156395,271110
"aftercreditsstinger",179430,271110
"duringcreditsstinger",179431,271110
"marvel cinematic universe",180547,271110
"3d",209714,271110
"fight",1721,44833
"u.s. navy",4410,44833
"mind reading",11265,44833
"hong kong",12354,44833
"soccer",13042,44833
"scientist",14760,44833
"fictional war",14946,44833
"naval",160855,44833
"armada",160856,44833
"battleship",160860,44833
"naval combat",160861,44833
"jds myoko",160865,44833
"lost communication",160866,44833
"taser",160868,44833
"buoy",160873,44833
"communications expert",160875,44833
"joint chiefs of staff",160876,44833
"crash landing",160879,44833
"jet fighter pilot",160880,44833
"navy lieutenant",160881,44833
"permission to marry",160884,44833
"uss john paul jones",160885,44833
"based on board game",160887,44833
"aftercreditsstinger",179430,44833
"mighty mo",227328,44833
"uss missouri",227329,44833
"monster",1299,135397
"dna",1718,135397
"tyrannosaurus rex",1720,135397
"velociraptor",1766,135397
"island",2041,135397
"sequel",9663,135397
"suspense",9937,135397
"disaster",10617,135397
"escape",10685,135397
"dinosaur",12616,135397
"amusement park",155582,135397
"animal attack",158130,135397
"theme park",158340,135397
"jurassic park",178010,135397
"3d",209714,135397
"animal horror",223059,135397
"spy",470,37724
"secret agent",4289,37724
"sociopath",9740,37724
"killer",15127,37724
"art gallery",15478,37724
"british secret service",156095,37724
"istanbul turkey",156345,37724
"imax",156395,37724
"uzi",159932,37724
"booby trap",163841,37724
"impersonating a police officer",185071,37724
"macao",185077,37724
"based on novel",818,12155
"fictional place",855,12155
"queen",2011,12155
"fantasy",2486,12155
"alice in wonderland",12552,12155
"fantasy world",170362,12155
"3d",209714,12155
"mutant",1852,36668
"marvel comic",8828,36668
"based on comic book",9717,36668
"superhuman",10761,36668
"beast",161271,36668
"cyclops",161893,36668
"aftercreditsstinger",179430,36668
"monster",1299,62211
"dormitory",5984,62211
"games",6186,62211
"animation",10336,62211
"best friend",12392,62211
"university",13160,62211
"scary",163303,62211
"aftercreditsstinger",179430,62211
"egypt",1160,8373
"sun",1670,8373
"chaos",4630,8373
"symbol",8264,8373
"artifact",9854,8373
"transformers",10607,8373
"tank",11117,8373
"robot",14544,8373
"imax",156395,8373
"duringcreditsstinger",179431,8373
"sequel",9663,91314
"alien",9951,91314
"transformers",10607,91314
"giant robot",10891,91314
"robot",14544,91314
"imax",156395,91314
"transforming robot",166594,91314
"circus",291,68728
"witch",616,68728
"magic",2343,68728
"hope",3929,68728
"illusion",4662,68728
"lost",44451,68728
"magic trick",172365,68728
"wizard",177912,68728
"3d",209714,68728
"obsession",1523,102382
"marvel comic",8828,102382
"sequel",9663,102382
"based on comic book",9717,102382
"electrocution",13040,102382
"medical experiment",33977,102382
"electricity",41594,102382
"super powers",163455,102382
"artificial intelligence",310,20526
"secret identity",1308,20526
"computer program",4286,20526
"dystopia",4565,20526
"computer",6104,20526
"deception",9758,20526
"duel",12965,20526
"motorcycle",14735,20526
"neon light",185351,20526
"autocracy",236778,20526
"car race",830,49013
"sequel",9663,49013
"comedy",10267,49013
"anthropomorphism",11500,49013
"best friend",12392,49013
"duringcreditsstinger",179431,49013
"dc comics",849,44912
"transformation",4375,44912
"superhero",9715,44912
"alien",9951,44912
"alien infection",15250,44912
"magical object",15252,44912
"protector",15254,44912
"super powers",163455,44912
"origin",202540,44912
"3d",209714,44912
"hostage",1562,10193
"college",3616,10193
"toy",4290,10193
"barbie",5462,10193
"animation",10336,10193
"escape",10685,10193
"day care",33794,10193
"teddy bear",158162,10193
"duringcreditsstinger",179431,10193
"toy comes to life",187065,10193
"personification",209386,10193
"inanimate objects coming to life",209387,10193
"toy story",224516,10193
"saving the world",83,534
"artificial intelligence",310,534
"prophecy",530,534
"san francisco",582,534
"cyborg",679,534
"killer robot",1373,534
"gas station",1420,534
"post-apocalyptic",4458,534
"dystopia",4565,534
"army",6092,534
"firearm",6112,534
"wartime",11159,534
"los angeles",12670,534
"car race",830,168259
"speed",3428,168259
"revenge",9748,168259
"suspense",9937,168259
"car",33885,168259
"race",40870,168259
"muscle car",205399,168259
"dystopia",4565,72190
"apocalypse",12332,72190
"zombie",12377,72190
"nuclear weapons",160381,72190
"multiple perspectives",180635,72190
"zombie apocalypse",186565,72190
"1970s",1228,127585
"mutant",1852,127585
"time travel",4379,127585
"marvel comic",8828,127585
"based on comic book",9717,127585
"superhuman",10761,127585
"storm",14527,127585
"beast",161271,127585
"aftercreditsstinger",179430,127585
"changing the past or future",206736,127585
"spacecraft",1612,54138
"friendship",6054,54138
"sequel",9663,54138
"futuristic",9685,54138
"space",9882,54138
"alien",9951,54138
"imax",156395,54138
"space opera",161176,54138
"terrorist bombing",179569,54138
"3d",209714,54138
"based on fairy tale",179411,81005
"giant",189099,81005
"based on novel",818,64682
"infidelity",1326,64682
"obsession",1523,64682
"hope",3929,64682
"3d",209714,64682
"persia",1241,9543
"sandstorm",1965,9543
"brother against brother",12653,9543
"armageddon",12654,9543
"regent",12655,9543
"based on video game",41645,9543
"dystopia",4565,68726
"giant robot",10891,68726
"giant monster",11100,68726
"apocalypse",12332,68726
"imax",156395,68726
"duringcreditsstinger",179431,68726
"3d",209714,68726
"moon",305,38356
"spacecraft",1612,38356
"traitor",2052,38356
"bodyguard",3088,38356
"alien planet",10158,38356
"based on cartoon",10244,38356
"transformers",10607,38356
"giant robot",10891,38356
"sabotage",15246,38356
"word domination",15247,38356
"commando",15248,38356
"duringcreditsstinger",179431,38356
"saving the world",83,217
"riddle",483,217
"whip",1294,217
"treasure",1454,217
"mexico city",1547,217
"leather jacket",2650,217
"machinegun",4276,217
"alien phenomenons",4939,217
"maya civilization",5566,217
"peru",5967,217
"treasure hunt",6956,217
"nuclear explosion",9830,217
"refrigerator",18524,217
"archaeologist",41586,217
"indiana jones",176731,217
"archeology\u00a0",184134,217
"tyrannosaurus rex",1720,105864
"friends",9713,105864
"alternate history",12026,105864
"dinosaur",12616,105864
"fear",13073,105864
"storm",14527,105864
"nature",18330,105864
"human",187864,105864
"journey",189092,105864
"africa",409,258489
"feral child",5650,258489
"tarzan",7347,258489
"jungle",10787,258489
"animal attack",158130,258489
"scotland",388,62177
"rebel",526,62177
"bravery",3930,62177
"kingdom",4152,62177
"archer",4393,62177
